Entity,Energy Source,Value,Percentage
Jordan,Renewables,2.394,0.1235931853381518
Kazakhstan,Renewables,11.512,0.0
Kenya,Renewables,9.506,0.8660714285714285
Kiribati,Renewables,0.0,0.0
Kuwait,Renewables,0.046,0.0006738149645514734
Kyrgyzstan,Renewables,13.624,0.912647374062165
Latvia,Renewables,3.852,0.5866585440146208
Lebanon,Renewables,0.756,0.038488952245188876
Lesotho,Renewables,0.52,1.0
Liberia,Renewables,0.106,0.23348017621145375
Libya,Renewables,0.01,0.0003231644260599793
Lithuania,Renewables,2.374,0.690919674039581
Luxembourg,Renewables,0.702,0.7105263157894737
Madagascar,Renewables,0.8540000000000001,0.4078319006685769
Malawi,Renewables,1.6780000000000002,0.8982869379014989
Malaysia,Renewables,27.327999999999996,0.0
Maldives,Renewables,0.026,0.041666666666666664
Mali,Renewables,1.432,0.4444444444444445
Malta,Renewables,0.194,0.11149425287356322
Mauritania,Renewables,0.398,0.24875
Mauritius,Renewables,0.522,0.17791411042944785
Mexico,Renewables,59.164,0.18631044603156607
Mongolia,Renewables,0.454,0.07501652346331791
Montenegro,Renewables,1.782,0.5486453201970443
Morocco,Renewables,6.114,0.17506585729011567
Mozambique,Renewables,14.932,0.8278079609712828
Myanmar,Renewables,11.232,0.5215453194650818
Namibia,Renewables,1.5379999999999998,0.9697351828499369
Nauru,Renewables,0.0,0.0
Nepal,Renewables,5.306,1.0
Netherlands,Renewables,21.332,0.18178719342798222
New Caledonia,Renewables,0.422,0.1378184193337688
New Zealand,Renewables,35.714,0.8241565514376702
Nicaragua,Renewables,2.378,0.5336624775583483
Niger,Renewables,0.034,0.06513409961685825
Nigeria,Renewables,7.964,0.2519934185546134
North Macedonia,Renewables,1.628,0.2901960784313725
Norway,Renewables,143.372,0.9810861115673071
Oman,Renewables,0.038,0.0011045869426196152
Pakistan,Renewables,38.78,0.2902520807137297
Panama,Renewables,7.694,0.7298425346234111
Papua New Guinea,Renewables,1.316,0.2989550204452522
Paraguay,Renewables,55.34,0.9994942927322642
Peru,Renewables,31.639999999999997,0.593888430062317
Philippines,Renewables,23.09,0.23392227580337968
Poland,Renewables,24.45,0.14805798786469498
Portugal,Renewables,28.362,0.5091738178162364
Puerto Rico,Renewables,0.386,0.021675651392632524
Qatar,Renewables,0.026,0.0005916621154196249
Romania,Renewables,25.338,0.4116251868217558
Rwanda,Renewables,0.4199999999999999,0.4976303317535544
Saint Kitts and Nevis,Renewables,0.008,0.03738317757009346
Saint Lucia,Renewables,0.0,0.0
Saint Vincent and the Grenadines,Renewables,0.024,0.16666666666666669
Samoa,Renewables,0.056,0.3783783783783784
Sao Tome and Principe,Renewables,0.01,0.10869565217391305
Saudi Arabia,Renewables,0.1399999999999999,0.0
Senegal,Renewables,0.698,0.14713322091062395
Serbia,Renewables,10.354,0.27861794306011517
Seychelles,Renewables,0.028,0.05447470817120624
Sierra Leone,Renewables,0.182,0.8053097345132744
Singapore,Renewables,0.672,0.01333492082390761
Slovakia,Renewables,6.496,0.23666569513261437
Slovenia,Renewables,5.068,0.3121458487312146
Solomon Islands,Renewables,0.0,0.0
Somalia,Renewables,0.02,0.05649717514124295
South Africa,Renewables,11.07,0.04741183625570698
South Sudan,Renewables,0.006,0.011278195488721804
Spain,Renewables,102.244,0.3796404250737047
Sri Lanka,Renewables,5.5920000000000005,0.37374682529073655
Sudan,Renewables,9.894,0.6342307692307692
Suriname,Renewables,0.934,0.48849372384937245
Sweden,Renewables,97.286,0.5963417474775956
Switzerland,Renewables,35.954,0.579361242708434
Tajikistan,Renewables,17.784,0.9388660120367437
Thailand,Renewables,22.896,0.1255924170616114
Togo,Renewables,0.204,0.3344262295081967
Tonga,Renewables,0.008,0.125
Trinidad and Tobago,Renewables,0.01,0.0011584800741427249
Tunisia,Renewables,0.708,0.03637858390710102
Turkey,Renewables,107.17,0.36152585026211215
Turkmenistan,Renewables,0.0,0.0
Tuvalu,Renewables,,0.0
Uganda,Renewables,3.938,0.9480019258545981
Ukraine,Renewables,12.516,0.08059966770990301
United Arab Emirates,Renewables,2.338,0.018481629039397963
United Kingdom,Renewables,108.818,0.3336133423263229
United States,Renewables,729.486,0.17755116346313926
Uruguay,Renewables,12.756,0.8847274240532668
Uzbekistan,Renewables,6.586,0.11373212682185536
Vanuatu,Renewables,0.018,0.2647058823529411
Yemen,Renewables,0.36,0.09846827133479212
Zambia,Renewables,12.644,0.8785436353529739
Zimbabwe,Renewables,4.37,0.5575401888236795
Afghanistan,Nuclear,0.0,0.0
Albania,Nuclear,0.0,0.0
Algeria,Nuclear,0.0,0.0
Angola,Nuclear,0.0,0.0
Antigua and Barbuda,Nuclear,0.0,0.0
Argentina,Nuclear,7.626,0.055272885409871714
Armenia,Nuclear,2.216,0.3040614709110867
Aruba,Nuclear,0.0,0.0
Australia,Nuclear,0.0,0.0
Austria,Nuclear,0.0,0.0
Azerbaijan,Nuclear,0.0,0.0
Bahamas,Nuclear,0.0,0.0
Bahrain,Nuclear,0.0,0.0
Bangladesh,Nuclear,0.0,0.0
Barbados,Nuclear,0.0,0.0
Belarus,Nuclear,0.068,0.0019478659409911199
Belgium,Nuclear,38.46,0.45502945978561793
Belize,Nuclear,0.0,0.0
Benin,Nuclear,0.0,0.0
Bermuda,Nuclear,0.0,0.0
Bhutan,Nuclear,0.0,0.0
Bosnia and Herzegovina,Nuclear,0.0,0.0
Botswana,Nuclear,0.0,0.0
Brazil,Nuclear,14.598,0.024495507982266854
Bulgaria,Nuclear,16.130000000000003,0.3665076119063849
Burkina Faso,Nuclear,0.0,0.0
Burundi,Nuclear,0.0,0.0
Cambodia,Nuclear,0.0,0.0
Cameroon,Nuclear,0.0,0.0
Canada,Nuclear,94.882,0.1493043207331619
Cayman Islands,Nuclear,0.0,0.0
Central African Republic,Nuclear,0.0,0.0
Chad,Nuclear,0.0,0.0
Chile,Nuclear,,0.0
China,Nuclear,294.236,0.04207387680640291
Colombia,Nuclear,0.0,0.0
Comoros,Nuclear,0.0,0.0
Congo,Nuclear,0.0,0.0
Costa Rica,Nuclear,0.0,0.0
Croatia,Nuclear,0.0,0.0
Cuba,Nuclear,0.0,0.0
Cyprus,Nuclear,0.0,0.0
Czechia,Nuclear,28.53,0.33918253798416437
Denmark,Nuclear,0.0,0.0
Djibouti,Nuclear,0.0,0.0
Dominica,Nuclear,0.0,0.0
Dominican Republic,Nuclear,0.0,0.0
Ecuador,Nuclear,0.0,0.0
Egypt,Nuclear,0.0,0.0
El Salvador,Nuclear,0.0,0.0
Equatorial Guinea,Nuclear,0.0,0.0
Eritrea,Nuclear,0.0,0.0
Estonia,Nuclear,0.0,0.0
Eswatini,Nuclear,0.0,0.0
Ethiopia,Nuclear,0.0,0.0
Fiji,Nuclear,0.0,0.0
Finland,Nuclear,23.126,0.33710387452260865
France,Nuclear,393.468,0.7067788024558744
Gabon,Nuclear,0.0,0.0
Gambia,Nuclear,0.0,0.0
Georgia,Nuclear,0.0,0.0
Germany,Nuclear,75.28,0.12187343165665625
Ghana,Nuclear,0.0,0.0
Greece,Nuclear,0.0,0.0
Grenada,Nuclear,0.0,0.0
Guatemala,Nuclear,0.0,0.0
Guinea,Nuclear,0.0,0.0
Guinea-Bissau,Nuclear,0.0,0.0
Guyana,Nuclear,0.0,0.0
Haiti,Nuclear,0.0,0.0
Honduras,Nuclear,0.0,0.0
Hungary,Nuclear,16.046,0.4846562764286578
Iceland,Nuclear,0.0,0.0
India,Nuclear,40.826,0.026731217237464296
Indonesia,Nuclear,,0.0
Iraq,Nuclear,0.0,0.0
Ireland,Nuclear,0.0,0.0
Israel,Nuclear,0.0,0.0
Italy,Nuclear,0.0,0.0
Jamaica,Nuclear,0.0,0.0
Japan,Nuclear,39.236,0.039374519559811416
Jordan,Nuclear,0.0,0.0
Kazakhstan,Nuclear,,0.0
Kenya,Nuclear,0.0,0.0
Kiribati,Nuclear,0.0,0.0
Kuwait,Nuclear,0.0,0.0
Kyrgyzstan,Nuclear,0.0,0.0
Latvia,Nuclear,0.0,0.0
Lebanon,Nuclear,0.0,0.0
Lesotho,Nuclear,0.0,0.0
Liberia,Nuclear,0.0,0.0
Libya,Nuclear,0.0,0.0
Lithuania,Nuclear,0.0,0.0
Luxembourg,Nuclear,0.0,0.0
Madagascar,Nuclear,0.0,0.0
Malawi,Nuclear,0.0,0.0
Malaysia,Nuclear,,0.0
Maldives,Nuclear,0.0,0.0
Mali,Nuclear,0.0,0.0
Malta,Nuclear,0.0,0.0
Mauritania,Nuclear,0.0,0.0
Mauritius,Nuclear,0.0,0.0
Mexico,Nuclear,11.182,0.03521268689616949
Mongolia,Nuclear,0.0,0.0
Montenegro,Nuclear,0.0,0.0
Morocco,Nuclear,0.0,0.0
Mozambique,Nuclear,0.0,0.0
Myanmar,Nuclear,0.0,0.0
Namibia,Nuclear,0.0,0.0
Nauru,Nuclear,0.0,0.0
Nepal,Nuclear,0.0,0.0
Netherlands,Nuclear,3.774,0.032161300768667016
New Caledonia,Nuclear,0.0,0.0
New Zealand,Nuclear,0.0,0.0
Nicaragua,Nuclear,0.0,0.0
Niger,Nuclear,0.0,0.0
Nigeria,Nuclear,0.0,0.0
North Macedonia,Nuclear,0.0,0.0
Norway,Nuclear,0.0,0.0
Oman,Nuclear,0.0,0.0
Pakistan,Nuclear,8.309999999999999,0.062196874438656354
Panama,Nuclear,0.0,0.0
Papua New Guinea,Nuclear,0.0,0.0
Paraguay,Nuclear,0.0,0.0
Peru,Nuclear,0.0,0.0
Philippines,Nuclear,0.0,0.0
Poland,Nuclear,0.0,0.0
Portugal,Nuclear,0.0,0.0
Puerto Rico,Nuclear,0.0,0.0
Qatar,Nuclear,0.0,0.0
Romania,Nuclear,11.386,0.18496978361167066
Rwanda,Nuclear,0.0,0.0
Saint Kitts and Nevis,Nuclear,0.0,0.0
Saint Lucia,Nuclear,0.0,0.0
Saint Vincent and the Grenadines,Nuclear,0.0,0.0
Samoa,Nuclear,0.0,0.0
Sao Tome and Principe,Nuclear,0.0,0.0
Saudi Arabia,Nuclear,,0.0
Senegal,Nuclear,0.0,0.0
Serbia,Nuclear,0.0,0.0
Seychelles,Nuclear,0.0,0.0
Sierra Leone,Nuclear,0.0,0.0
Singapore,Nuclear,0.0,0.0
Slovakia,Nuclear,15.082,0.549475371611775
Slovenia,Nuclear,5.992,0.3690564178369057
Solomon Islands,Nuclear,0.0,0.0
Somalia,Nuclear,0.0,0.0
South Africa,Nuclear,13.216,0.0566029654882948
South Sudan,Nuclear,0.0,0.0
Spain,Nuclear,57.818000000000005,0.2146830141319927
Sri Lanka,Nuclear,0.0,0.0
Sudan,Nuclear,0.0,0.0
Suriname,Nuclear,0.0,0.0
Sweden,Nuclear,62.536,0.38333190305140435
Switzerland,Nuclear,22.484,0.3623062296561282
Tajikistan,Nuclear,0.0,0.0
Thailand,Nuclear,0.0,0.0
Togo,Nuclear,0.0,0.0
Tonga,Nuclear,0.0,0.0
Trinidad and Tobago,Nuclear,0.0,0.0
Tunisia,Nuclear,0.0,0.0
Turkey,Nuclear,0.0,0.0
Turkmenistan,Nuclear,0.0,0.0
Tuvalu,Nuclear,,0.0
Uganda,Nuclear,0.0,0.0
Ukraine,Nuclear,82.026,0.528225339051814
United Arab Emirates,Nuclear,0.312,0.002466325175488522
United Kingdom,Nuclear,62.83200000000001,0.19262983628671287
United States,Nuclear,803.402,0.1955417373720853
Uruguay,Nuclear,0.0,0.0
Uzbekistan,Nuclear,0.0,0.0
Vanuatu,Nuclear,0.0,0.0
Yemen,Nuclear,0.0,0.0
Zambia,Nuclear,0.0,0.0
Zimbabwe,Nuclear,0.0,0.0
Afghanistan,Fossil Fuels,0.1659999999999999,0.15036231884057963
Albania,Fossil Fuels,0.0,0.0
Algeria,Fossil Fuels,71.29400000000001,0.9907723950081992
Angola,Fossil Fuels,3.798000000000001,0.2889971085070766
Antigua and Barbuda,Fossil Fuels,0.32,0.9696969696969697
Argentina,Fossil Fuels,96.13,0.6967456693484091
Armenia,Fossil Fuels,2.8280000000000003,0.38803512623490666
Aruba,Fossil Fuels,0.762,0.8392070484581498
Australia,Fossil Fuels,201.52399999999997,0.807951055623712
Austria,Fossil Fuels,15.102,0.22356110847939364
Azerbaijan,Fossil Fuels,22.152,0.9281823514623314
Bahamas,Fossil Fuels,1.99,1.0
Bahrain,Fossil Fuels,28.664,0.9996512520053009
Bangladesh,Fossil Fuels,71.3,0.982256020278834
Barbados,Fossil Fuels,0.968,0.9622266401590457
Belarus,Fossil Fuels,34.008,0.9741621311945001
Belgium,Fossil Fuels,28.032,0.3316532973663661
Belize,Fossil Fuels,0.348,0.4860335195530726
Benin,Fossil Fuels,0.2319999999999999,0.983050847457627
Bermuda,Fossil Fuels,0.0,0.0
Bhutan,Fossil Fuels,0.0,0.0
Bosnia and Herzegovina,Fossil Fuels,11.198,0.6739287433798749
Botswana,Fossil Fuels,2.684,0.9977695167286246
Brazil,Fossil Fuels,90.742,0.1522654737174174
Bulgaria,Fossil Fuels,20.378,0.46303112928879797
Burkina Faso,Fossil Fuels,1.446,0.8817073170731707
Burundi,Fossil Fuels,0.088,0.3013698630136986
Cambodia,Fossil Fuels,3.41,0.4600647598488937
Cameroon,Fossil Fuels,2.896,0.3649193548387097
Canada,Fossil Fuels,112.272,0.17666885918671144
Cayman Islands,Fossil Fuels,0.658,0.982089552238806
Central African Republic,Fossil Fuels,0.0,0.0
Chad,Fossil Fuels,0.288,0.9664429530201342
Chile,Fossil Fuels,45.338,0.0
China,Fossil Fuels,4854.146,0.6941120080625535
Colombia,Fossil Fuels,22.242,0.2877360931435963
Comoros,Fossil Fuels,0.092,1.0
Congo,Fossil Fuels,2.136,0.6617100371747212
Costa Rica,Fossil Fuels,0.262,0.023091838533403842
Croatia,Fossil Fuels,4.34,0.33980582524271846
Cuba,Fossil Fuels,16.972,0.8790138802568884
Cyprus,Fossil Fuels,4.498,0.9014028056112224
Czechia,Fossil Fuels,45.8,0.5444991321302042
Denmark,Fossil Fuels,8.544,0.2844586496204555
Djibouti,Fossil Fuels,0.06,1.0
Dominica,Fossil Fuels,0.0699999999999999,0.6999999999999997
Dominican Republic,Fossil Fuels,16.028,0.8596867624973181
Ecuador,Fossil Fuels,7.936,0.26887112074806885
Egypt,Fossil Fuels,176.002,0.907292278824245
El Salvador,Fossil Fuels,1.6800000000000002,0.2887590237194913
Equatorial Guinea,Fossil Fuels,0.922,0.6681159420289855
Eritrea,Fossil Fuels,0.4,0.9803921568627451
Estonia,Fossil Fuels,8.168000000000001,0.7947071414672114
Eswatini,Fossil Fuels,0.04,0.05830903790087463
Ethiopia,Fossil Fuels,0.01,0.0007369196757553427
Fiji,Fossil Fuels,0.394,0.3696060037523453
Finland,Fossil Fuels,13.108,0.191073146555494
France,Fossil Fuels,54.489999999999995,0.09787931152170085
Gabon,Fossil Fuels,1.246,0.5632911392405064
Gambia,Fossil Fuels,0.298,1.0
Georgia,Fossil Fuels,2.336,0.2036972445064527
Germany,Fossil Fuels,318.43600000000004,0.5155272062037591
Ghana,Fossil Fuels,8.7,0.5761589403973509
Greece,Fossil Fuels,36.22,0.6976654595885662
Grenada,Fossil Fuels,0.206,1.0
Guatemala,Fossil Fuels,4.76,0.360224004843348
Guinea,Fossil Fuels,0.648,0.31984205330700893
Guinea-Bissau,Fossil Fuels,0.08,1.0
Guyana,Fossil Fuels,1.002,0.8667820069204153
Haiti,Fossil Fuels,0.8560000000000001,0.8629032258064516
Honduras,Fossil Fuels,4.7219999999999995,0.4584466019417475
Hungary,Fossil Fuels,12.918,0.3901776005799203
Iceland,Fossil Fuels,0.0,0.0
India,Fossil Fuels,1221.324,0.7996736677932896
Indonesia,Fossil Fuels,232.464,0.0
Iraq,Fossil Fuels,80.672,0.9563052703952203
Ireland,Fossil Fuels,20.524,0.6642931123770067
Israel,Fossil Fuels,66.94800000000001,0.9651414237522705
Italy,Fossil Fuels,175.66,0.6110593179066887
Jamaica,Fossil Fuels,3.528,0.8513513513513513
Japan,Fossil Fuels,774.292,0.7770255759762846
Jordan,Fossil Fuels,16.976,0.8764068146618483
Kazakhstan,Fossil Fuels,92.516,0.0
Kenya,Fossil Fuels,1.47,0.13392857142857142
Kiribati,Fossil Fuels,0.03,1.0
Kuwait,Fossil Fuels,68.22200000000001,0.9993261850354485
Kyrgyzstan,Fossil Fuels,1.3039999999999998,0.08735262593783492
Latvia,Fossil Fuels,2.714,0.41334145598537925
Lebanon,Fossil Fuels,18.886000000000003,0.9615110477548111
Lesotho,Fossil Fuels,0.0,0.0
Liberia,Fossil Fuels,0.348,0.7665198237885462
Libya,Fossil Fuels,30.933999999999997,0.9996768355739399
Lithuania,Fossil Fuels,1.062,0.3090803259604191
Luxembourg,Fossil Fuels,0.286,0.28947368421052627
Madagascar,Fossil Fuels,1.24,0.592168099331423
Malawi,Fossil Fuels,0.19,0.10171306209850106
Malaysia,Fossil Fuels,139.8,0.0
Maldives,Fossil Fuels,0.598,0.9583333333333333
Mali,Fossil Fuels,1.7899999999999998,0.5555555555555556
Malta,Fossil Fuels,1.546,0.8885057471264368
Mauritania,Fossil Fuels,1.202,0.75125
Mauritius,Fossil Fuels,2.412,0.8220858895705521
Mexico,Fossil Fuels,247.21,0.7784768670722644
Mongolia,Fossil Fuels,5.598,0.9249834765366821
Montenegro,Fossil Fuels,1.466,0.4513546798029556
Morocco,Fossil Fuels,28.81,0.8249341427098843
Mozambique,Fossil Fuels,3.106,0.17219203902871713
Myanmar,Fossil Fuels,10.303999999999998,0.47845468053491824
Namibia,Fossil Fuels,0.048,0.030264817150063055
Nauru,Fossil Fuels,0.032,1.0
Nepal,Fossil Fuels,0.0,0.0
Netherlands,Fossil Fuels,92.24,0.7860515058033507
New Caledonia,Fossil Fuels,2.6399999999999997,0.8621815806662312
New Zealand,Fossil Fuels,7.62,0.17584344856232983
Nicaragua,Fossil Fuels,2.0780000000000003,0.4663375224416517
Niger,Fossil Fuels,0.488,0.9348659003831417
Nigeria,Fossil Fuels,23.64,0.7480065814453867
North Macedonia,Fossil Fuels,3.982,0.7098039215686275
Norway,Fossil Fuels,2.764,0.01891388843269283
Oman,Fossil Fuels,34.364,0.9988954130573805
Pakistan,Fossil Fuels,86.518,0.6475510448476139
Panama,Fossil Fuels,2.848,0.27015746537658886
Papua New Guinea,Fossil Fuels,3.086,0.7010449795547478
Paraguay,Fossil Fuels,0.028,0.0005057072677358763
Peru,Fossil Fuels,21.636000000000003,0.4061115699376831
Philippines,Fossil Fuels,75.618,0.7660777241966203
Poland,Fossil Fuels,140.68800000000002,0.8519420121353051
Portugal,Fossil Fuels,27.339999999999996,0.49082618218376356
Puerto Rico,Fossil Fuels,17.422,0.9783243486073675
Qatar,Fossil Fuels,43.918,0.9994083378845803
Romania,Fossil Fuels,24.832,0.40340502956657354
Rwanda,Fossil Fuels,0.424,0.5023696682464456
Saint Kitts and Nevis,Fossil Fuels,0.206,0.9626168224299065
Saint Lucia,Fossil Fuels,0.36,1.0
Saint Vincent and the Grenadines,Fossil Fuels,0.12,0.8333333333333334
Samoa,Fossil Fuels,0.092,0.6216216216216216
Sao Tome and Principe,Fossil Fuels,0.082,0.891304347826087
Saudi Arabia,Fossil Fuels,339.88800000000003,0.0
Senegal,Fossil Fuels,4.046,0.8528667790893761
Serbia,Fossil Fuels,26.808,0.7213820569398849
Seychelles,Fossil Fuels,0.4859999999999999,0.9455252918287937
Sierra Leone,Fossil Fuels,0.044,0.19469026548672566
Singapore,Fossil Fuels,49.721999999999994,0.9866650791760925
Slovakia,Fossil Fuels,5.87,0.2138589332556106
Slovenia,Fossil Fuels,5.176,0.31879773343187984
Solomon Islands,Fossil Fuels,0.1,1.0
Somalia,Fossil Fuels,0.3339999999999999,0.943502824858757
South Africa,Fossil Fuels,209.2,0.8959851982559982
South Sudan,Fossil Fuels,0.526,0.9887218045112782
Spain,Fossil Fuels,109.256,0.4056765607943027
Sri Lanka,Fossil Fuels,9.37,0.6262531747092634
Sudan,Fossil Fuels,5.706,0.36576923076923074
Suriname,Fossil Fuels,0.978,0.5115062761506276
Sweden,Fossil Fuels,3.3160000000000003,0.020326349471000014
Switzerland,Fossil Fuels,3.62,0.058332527635437816
Tajikistan,Fossil Fuels,1.158,0.06113398796325625
Thailand,Fossil Fuels,159.408,0.8744075829383887
Togo,Fossil Fuels,0.406,0.6655737704918033
Tonga,Fossil Fuels,0.056,0.875
Trinidad and Tobago,Fossil Fuels,8.622,0.9988415199258573
Tunisia,Fossil Fuels,18.754,0.9636214160928991
Turkey,Fossil Fuels,189.268,0.6384741497378879
Turkmenistan,Fossil Fuels,20.966,1.0
Tuvalu,Fossil Fuels,,0.0
Uganda,Fossil Fuels,0.216,0.05199807414540202
Ukraine,Fossil Fuels,60.74400000000001,0.391174993238283
United Arab Emirates,Fossil Fuels,123.854,0.9790520457851135
United Kingdom,Fossil Fuels,154.53,0.47375682138696423
United States,Fossil Fuels,2575.708,0.6269070991647756
Uruguay,Fossil Fuels,1.662,0.11527257594673325
Uzbekistan,Fossil Fuels,51.322,0.8862678731781447
Vanuatu,Fossil Fuels,0.05,0.7352941176470588
Yemen,Fossil Fuels,3.2960000000000003,0.9015317286652079
Zambia,Fossil Fuels,1.748,0.12145636464702612
Zimbabwe,Fossil Fuels,3.468,0.4424598111763205
